力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00262,LTspice（ハード）,CTG101060600,業務スキル＞開発技術＞解析技術＞ハード系解析,SKILL_DEFAULT,0,通知しない,"【回路シミュレータ解析スキル】
spice上で部品モデルを使用した回路図を作成し、トランジェント解析、AC解析、DCスイープ解析、パラメトリック解析などで回路動作解析、波形遅延などのDC伝達関数解析、部品の公差に対するモンテカルロ解析等を行い、回路の妥当性を分析・考察する。
【レベル１】
LTspiceのトレーニング（メンバーからの教育含む）を受け、解析の特徴、応用・活用方法及び基本的な使い方を理解している。

【レベル２】
解析目的に応じて、LTspice上で部品モデル（作成、メーカ入手）と回路を作成ができる。

【レベル３】
トランジェント解析、AC解析、DCスイープ解析を実行して、解析目的に応じた結果とその考察・レビューができる。

【レベル４】
レベル3の水準に加え、応用解析（パラメトリック解析、DC伝達関数解析、モンテカルロ解析等）を実行し、解析結果の考察と回路設計妥当性をレビューできる。

【レベル５】
レベル4の水準に加え、解析用の部品を実波形や部品特性から作成でき（トランス、FETなど）、回路設計妥当性を考察・レビューできる。",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第1設計G , 新技術推進部 , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00263,JMAG,CTG101060600,業務スキル＞開発技術＞解析技術＞ハード系解析,SKILL_DEFAULT,0,通知しない,電磁界解析ツールJMAGを用いて、モータを中心とした、磁性部品（磁気センサ、トランス・コイルなども含む）などの、磁気回路設計・構造設計ができる。,,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00264,SI解析（CR-8000）,CTG101060600,業務スキル＞開発技術＞解析技術＞ハード系解析,SKILL_DEFAULT,0,通知しない,基板設計CADであるCR-8000のSI解析ツールに関するスキル,,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第1設計G , 新技術推進部 , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00265,PI/EMI解析（CR-8000）,CTG101060600,業務スキル＞開発技術＞解析技術＞ハード系解析,SKILL_DEFAULT,0,通知しない,基板設計CADであるCR-8000の、PI/EMI解析ツール,,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第1設計G , 新技術推進部 , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00266,DemitasNX,CTG101060600,業務スキル＞開発技術＞解析技術＞ハード系解析,SKILL_DEFAULT,0,通知しない,"回路パターンから電源層のプレーン共振解析を行い、AWパターンのEMC設計妥当性を分析し、基板AWパターン、回路部品追加などのEMC対策を基板設計に反映する。
【レベル１】
DEMITAS解析ツールのトレーニング（メンバー講習含む）を受けた

【レベル２】
基板設計データを基にプレーン共振解析、または、EMCアドバイザを実行できる。


【レベル３】
共振解析,EMCアドバイザを実行し、結果からツール上でパスコンの効果検討、配線影響検討を実行できる。
解析結果から適切な設計に落とし込める。

【レベル４】
レベル3の水準に加え、解析結果からノイズ発生源と発生メカニズムを特定できる。

【レベル５】
レベル4の水準に加え、基板発生源のノイズ伝搬メカニズム含めた更なる解析結果を基に、基板パターンや追加部品による更なるノイズ対策ができる。",,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第1設計G , 新技術推進部 , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00267,BLDCモータ設計,CTG102030200,業務スキル＞共通技術＞モータ関連技術＞BLDCモータ,SKILL_DEFAULT,0,通知しない,磁気回路設計からロータ、ステータの設計を中心に、周辺の減速機構や軸受、冷却までの総合的な磁気機械設計ができる,,強調する,全メンバーに公開,"00_開発本部 , 第2設計G , 第3設計G , 第1設計G , 新技術推進部 , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00056,静音・制振技術,CTG102040000,業務スキル＞共通技術＞静音・制振技術,SKILL_DEFAULT,0,通知しない,各種分析手法を用いて音源・加震源を特定でき、効果的な対処方法を示せる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 4G3SECｰスキル、知識 , プロトSEC-スキル・知識 , 新技術推進部ースキル , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00057,組み込みハードウェア設計：ワンチップ,CTG102050000,業務スキル＞共通技術＞組み込み回路設計,SKILL_DEFAULT,0,通知しない,ワンチップマイコンを使用した組み込みシステム（ハード設計）を構築できる。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00058,組み込みハードウェア設計：プロセッサ系,CTG102050000,業務スキル＞共通技術＞組み込み回路設計,SKILL_DEFAULT,0,通知しない,"メインの内部メモリを持たないプロセッサ系マイコンを用い、外部バスに接続されたブートメモリ、ワークメモリ、ストレージ、周辺拡張機能、基板間通信、専用ﾄﾞﾗｲﾊﾞICなどを含めた組み込みシステムを構築できる。
接続するデバイスの仕様を正しく理解し、タイミング設計ができる。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00063,電源・充電回路設計,CTG102080000,業務スキル＞共通技術＞電池・充電技術,SKILL_DEFAULT,0,通知しない,2次電池の仕様、性能要求に従って充電システムを構築・設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00064,RF回路設計,CTG102090000,業務スキル＞共通技術＞RF回路設計,SKILL_DEFAULT,0,通知しない,"RF設計ツールを用いてのアンテナ設計および送受信回路設計ができる（使用ツール：SONNETほか）
RF回路の例としては、以下のようなものがある。
・RFIDのアンテナ
・コイルを用いた金属検知回路
・非接触充電回路",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00065,組み合わせ回路,CTG102100000,業務スキル＞共通技術＞論理回路設計,SKILL_DEFAULT,0,通知しない,個別部品を使って組み合わせ回路を設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G3-スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00066,順序回路,CTG102100000,業務スキル＞共通技術＞論理回路設計,SKILL_DEFAULT,0,通知しない,個別部品を使って順序回路を設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00067,大規模回路,CTG102100000,業務スキル＞共通技術＞論理回路設計,SKILL_DEFAULT,0,通知しない,PLD/FPGAを使った、大規模論理回路設計ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00068,論理回路記述言語,CTG102100000,業務スキル＞共通技術＞論理回路設計,SKILL_DEFAULT,0,通知しない,回路記述言語(VHDL、VerilogHDL)を用い、論理回路設計ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 5G5SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00069,受動部品回路,CTG102110000,業務スキル＞共通技術＞アナログ回路,SKILL_DEFAULT,0,通知しない,受動部品（L、C、Rなど）の特徴(特にAC特性）を理解しアナログ回路を構築できる。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00070,能動部品回路,CTG102110000,業務スキル＞共通技術＞アナログ回路,SKILL_DEFAULT,0,通知しない,能動部品（オペアンプ、トランジスタなど）や基本的なセンサ部品（フォトインタラプタなどの光学センサ、ホールIC・素子などの磁気センサなど）を使ってアナログ回路（増幅回路やフィルター回路、電源回路など）を構築できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00071,EMI設計,CTG102120000,業務スキル＞共通技術＞EMC,SKILL_DEFAULT,0,通知しない,"EMIの適用規格を満足する設計ができ、ノイズ発生源と発生メカニズムの特定及び対策方法を提示できる。（ツール：電波暗室、DEMITAS、SI/PI解析ほか）

※ ここにはEMIを考慮した基板設計、規格に従った測定、ノイズ発生源の特定と対策を含む。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00072,EMS設計,CTG102120000,業務スキル＞共通技術＞EMC,SKILL_DEFAULT,0,通知しない,"EMSの適用規格を満足する設計ができ、EMS脆弱部の特定と対策方法を提示できる。（ツール：静電気試験機、バースト試験機ほか）

※ ここにはEMSを考慮した基板設計、規格に従った測定、問題発生時の原因箇所特定と対策を含む。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00073,マイコン制御（ワンチップ）,CTG102130000,業務スキル＞共通技術＞プラットフォーム（ソフト）,SKILL_DEFAULT,0,通知しない,"製品仕様・要求性能に合わせて、マイコンの動作原理を基に、設計し制御できる
◎回路構成・実現機能に合わせて、マイコンの全機能を網羅したマイコン機能（クロック、未使用機能含む周辺機能、割込み等）の設定（設計）を行い、設計通りに動作させることができる
※コードジェネレータ、設定ツールを使わずに行える
◎実現機能に合わせて、アクセス速度・効率を考慮しサイズ・配置等を記載したROM・RAMマップを設計し、メモリアクセス制御ができる
◎開発環境を使って、パラメータ（最適化、リンカ、プリプロセッサ等）の意味を理解した上で、各種設定しビルドができる（初級：使う、中級：パラメータ変更、上級：一から構築）
◎プログラムの動作原理を理解した上で、デバッガを使って、デバッグできる（初中級：Cコードレベル、上級：アセンブラレベル）
※マイコンの動作原理：起動処理（スタートアップルーチン等）、クロック（分周、メイン/サブ等）、アドレスマップ、スタックメモリ、内部/外部割込み（優先順位、多重割込み等）、リセット、レジスタ、I/Oポート、タイマ、A/D変換、シリアル通信",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00074,マイコン制御（プロセッサ系）,CTG102130000,業務スキル＞共通技術＞プラットフォーム（ソフト）,SKILL_DEFAULT,0,通知しない,"製品仕様・要求性能に合わせて、マイコンの動作原理を基に、設計し制御できる
◎回路構成・実現機能に合わせて、マイコンの全機能を網羅したマイコン機能（クロック、バス、未使用機能含む周辺機能、割込み等）の設定（設計）を行い、設計通りに動作させることができる
※コードジェネレータ、設定ツールを使わずに行える
◎実現機能に合わせて、アクセス速度・効率を考慮しサイズ・配置等を記載した内蔵/外部のROM・RAMマップを設計し、メモリアクセス制御ができる
◎開発環境を使って、パラメータ（最適化、リンカ、プリプロセッサ等）の意味を理解した上で、各種設定しビルドができる（初級：使う、中級：パラメータ変更、上級：一から構築）
◎プログラムの動作原理を理解した上で、デバッガを使って、デバッグできる（初中級：Cコードレベル、上級：アセンブラレベル）
※マイコンの動作原理：起動処理（ブートモード、スタートアップルーチン等）、クロック（PLL、分周回路等）、内部/外部バス（バスステートコントローラ、バス幅等）、キャッシュ、アドレスマップ、スタックメモリ、内部/外部割込み（優先順位、多重割込み等）、リセット、レジスタ、I/Oポート（マルチプレクス等）、タイマ、A/D変換、シリアル通信",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00075,RTOS制御,CTG102130000,業務スキル＞共通技術＞プラットフォーム（ソフト）,SKILL_DEFAULT,0,通知しない,"RTOSの動作原理を理解し、要求に応じてリアルタイム性（要求される期限までに処理を実行）を確保したタスク構造（タスク分割、同期・通信制御、優先度等）を設計し制御できる
・OS起因の問題対応（デッドロック、メモリ破壊、処理速度低下等）ができる
※RTOSの動作原理：タスクの状態遷移、ディスパッチ、待ち行列、キューイング、コンテキスト/非コンテキスト、タスク管理、同期・通信機能、メモリ管理、排他制御、時間管理、割込み管理、OS資源

中級：最適な資源（OS資源）を活用して、タスクの追加・変更が出来る
上級：製品特性に合わせてタスク構造の再構築やタスク構造を見直し性能向上ができる。
最上級：系列違い（例：TRON系からFreeRTOS等）のRTOSを使い同じ機能を実現できる・新しい製品開発ができる。新しいマイコンにRTOSコア（カーネル）をポーティングできる",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00076,入出力制御,CTG102140000,業務スキル＞共通技術＞デバイス制御（ソフト）,SKILL_DEFAULT,0,通知しない,"【デジタル】
製品仕様・性能に合わせ、動作原理を基にキー・SW・センサ等のデジタル入力デバイスの設定・制御ができる。
＜設計スキル要素＞
・キースキャン処理（サンプリング周期、確定時間）
・SW特性に合わせた制御（チャタリング、サンプリング周期）
・センサ特性に合わせた制御（安定時間、精度、ノイズ除去、センサへの突入方向差異）

※対象デバイスの特性、回路・ソフトのバラツキ、外部ノイズ、人の操作を想定した制御の根拠をどの程度（既存同様、新規）明確にして設計できるかを判断基準とする。
【アナログ】
製品仕様・性能に合わせ、動作原理を基にセンサ・タッチパネル・サーミスタ等のアナログ入力デバイスの設定・制御ができる。
＜設計スキル要素＞
・AD変換基本（分解能、返還時間、連続/単発、回数）
・光学センサ（発光安定時間、サンプリング周期、確定時間、外乱影響、読取手法（閾値、微分分散））
・タッチパネル（人の操作によるバラツキ、位置調整）
・サーミスタ等各種アナログセンサ及びアナログ増幅回路（有効範囲、ノイズ除去、分解能、閾値）

※対象デバイスの特性、回路・ソフトのバラツキ、外部ノイズ、人の操作を想定した制御の根拠をどの程度（既存同様、新規）明確にして設計できるかを判断基準とする。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 3G1-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00081,モータ制御,CTG102140000,業務スキル＞共通技術＞デバイス制御（ソフト）,SKILL_DEFAULT,0,通知しない,"製品仕様・性能に合わせ、動作原理を基にモータの設定、制御と総合的なモータ制御ソフトを設計できる。
●技術要素
　・6stepやFOC
　・加減速・速度制御（PWM制御）
　　トルク曲線/メカ負荷を考慮した速度設定
　・位置速度のFB・FF制御
　・ブレーキング制御（ショート、チョッパーブレーキ）
　・正逆制御（追従性など）
　・位置情報（センサ信号）から励磁パターン設定
　・センサレス、ベクトル制御の固有制御
　・ﾌﾟﾛﾌｧｲﾙ生成
　・ｾﾝｻ信号処理
　・異常監視
　・MCU高速演算機能活用",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00082,汎用シリアル制御,CTG102140000,業務スキル＞共通技術＞デバイス制御（ソフト）,SKILL_DEFAULT,0,通知しない,"製品仕様・性能に合わせ、動作原理を基に適切な通信制御ができる
＜設計スキル要素＞
・デバイス・性能に合わせた適切なI/F選定(UART/IC2/SPI等）
・性能に合わせた通信方式と設定(調歩同期・クロック）速度・誤差計算
・デバイス・ハード構成に合わせたフロー制御
・タイミング、データの流量制御、フロー制御等で、求める性能を実現できる（最適な制御）",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 3G3-スキル・知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
